boss,region,tier,chunks
Leviathan,Desert,late-game,"chunk_13_34, chunk_13_35, chunk_13_36, chunk_13_37, chunk_14_34, chunk_14_35, chunk_14_36, chunk_14_37, chunk_15_34, chunk_15_35, chunk_15_36, chunk_15_37, chunk_15_38, chunk_16_34, chunk_16_35, chunk_16_36, chunk_16_37, chunk_16_38, chunk_17_33, chunk_17_34, chunk_17_35, chunk_17_36, chunk_17_37, chunk_17_38, chunk_18_33, chunk_18_34, chunk_18_35, chunk_18_36, chunk_18_37, chunk_18_38, chunk_18_39, chunk_19_33, chunk_19_34, chunk_19_35, chunk_19_36, chunk_19_37, chunk_19_38, chunk_20_31, chunk_20_32, chunk_20_33, chunk_20_34, chunk_20_35, chunk_20_36, chunk_20_37, chunk_21_33, chunk_21_34, chunk_21_35, chunk_21_36, chunk_21_37, chunk_22_33, chunk_22_34, chunk_22_35, chunk_22_36, chunk_22_37, chunk_23_33, chunk_23_34, chunk_23_36, chunk_23_40"
Dagannoth kings,Fremennik,early-game,"chunk_4_20, chunk_4_21, chunk_4_22, chunk_4_23, chunk_4_24, chunk_4_25, chunk_5_20, chunk_5_21, chunk_5_23, chunk_5_26, chunk_6_20, chunk_6_23, chunk_6_25, chunk_6_26, chunk_7_23, chunk_7_24, chunk_7_25, chunk_7_26, chunk_7_27, chunk_8_23, chunk_8_24, chunk_8_25, chunk_8_26, chunk_8_27"
Vorkath,Fremennik,mid-game,"chunk_4_20, chunk_4_21, chunk_4_22, chunk_4_23, chunk_4_24, chunk_4_25, chunk_5_20, chunk_5_21, chunk_5_23, chunk_5_26, chunk_6_20, chunk_6_23, chunk_6_25, chunk_6_26, chunk_7_23, chunk_7_24, chunk_7_25, chunk_7_26, chunk_7_27, chunk_8_23, chunk_8_24, chunk_8_25, chunk_8_26, chunk_8_27"
Phantom muspah,Fremennik,late-game,"chunk_4_20, chunk_4_21, chunk_4_22, chunk_4_23, chunk_4_24, chunk_4_25, chunk_5_20, chunk_5_21, chunk_5_23, chunk_5_26, chunk_6_20, chunk_6_23, chunk_6_25, chunk_6_26, chunk_7_23, chunk_7_24, chunk_7_25, chunk_7_26, chunk_7_27, chunk_8_23, chunk_8_24, chunk_8_25, chunk_8_26, chunk_8_27"
Duke sucellus,Fremennik,late-game,"chunk_4_20, chunk_4_21, chunk_4_22, chunk_4_23, chunk_4_24, chunk_4_25, chunk_5_20, chunk_5_21, chunk_5_23, chunk_5_26, chunk_6_20, chunk_6_23, chunk_6_25, chunk_6_26, chunk_7_23, chunk_7_24, chunk_7_25, chunk_7_26, chunk_7_27, chunk_8_23, chunk_8_24, chunk_8_25, chunk_8_26, chunk_8_27"
Tztok-jad,Karamja,mid-game,"chunk_14_26, chunk_14_27, chunk_14_28, chunk_15_26, chunk_15_27, chunk_15_28, chunk_15_29, chunk_15_30, chunk_16_27, chunk_16_28, chunk_16_29, chunk_16_30, chunk_17_27, chunk_17_28, chunk_17_29, chunk_17_30, chunk_18_27, chunk_18_28, chunk_18_29, chunk_18_30, chunk_19_27, chunk_19_28, chunk_19_29, chunk_19_30"
Tzkal-zuk,Karamja,end-game,"chunk_14_26, chunk_14_27, chunk_14_28, chunk_15_26, chunk_15_27, chunk_15_28, chunk_15_29, chunk_15_30, chunk_16_27, chunk_16_28, chunk_16_29, chunk_16_30, chunk_17_27, chunk_17_28, chunk_17_29, chunk_17_30, chunk_18_27, chunk_18_28, chunk_18_29, chunk_18_30, chunk_19_27, chunk_19_28, chunk_19_29, chunk_19_30"
Wintertodt,Kourend,introductory,"chunk_1_8, chunk_1_9, chunk_1_10, chunk_2_7, chunk_2_8, chunk_2_9, chunk_2_10, chunk_2_11, chunk_3_6, chunk_3_7, chunk_3_8, chunk_3_9, chunk_3_10, chunk_3_11, chunk_3_12, chunk_3_13, chunk_4_4, chunk_4_5, chunk_4_6, chunk_4_7, chunk_4_8, chunk_4_9, chunk_4_10, chunk_4_11, chunk_4_12, chunk_4_13, chunk_5_2, chunk_5_3, chunk_5_4, chunk_5_5, chunk_5_6, chunk_5_7, chunk_5_8, chunk_5_9, chunk_5_10, chunk_5_11, chunk_5_12, chunk_5_13, chunk_6_2, chunk_6_3, chunk_6_4, chunk_6_5, chunk_6_6, chunk_6_7, chunk_6_8, chunk_6_9, chunk_6_10, chunk_6_11, chunk_6_12, chunk_7_2, chunk_7_3, chunk_7_4, chunk_7_5, chunk_7_6, chunk_7_7, chunk_7_8, chunk_7_9, chunk_7_10, chunk_7_11, chunk_7_12, chunk_8_2, chunk_8_3, chunk_8_4, chunk_8_5, chunk_8_6, chunk_8_7, chunk_8_8, chunk_8_9, chunk_8_10, chunk_8_11, chunk_8_12, chunk_9_2, chunk_9_3, chunk_9_4, chunk_9_5, chunk_9_6, chunk_9_7, chunk_9_8, chunk_9_9, chunk_9_10, chunk_9_11, chunk_9_12, chunk_9_13, chunk_10_2, chunk_10_3, chunk_10_4, chunk_10_5, chunk_10_6, chunk_10_7, chunk_10_8, chunk_10_9, chunk_10_10, chunk_10_11, chunk_10_12, chunk_10_13, chunk_11_7, chunk_11_8, chunk_11_9, chunk_11_10, chunk_11_11, chunk_11_12"
Hespori,Kourend,mid-game,"chunk_1_8, chunk_1_9, chunk_1_10, chunk_2_7, chunk_2_8, chunk_2_9, chunk_2_10, chunk_2_11, chunk_3_6, chunk_3_7, chunk_3_8, chunk_3_9, chunk_3_10, chunk_3_11, chunk_3_12, chunk_3_13, chunk_4_4, chunk_4_5, chunk_4_6, chunk_4_7, chunk_4_8, chunk_4_9, chunk_4_10, chunk_4_11, chunk_4_12, chunk_4_13, chunk_5_2, chunk_5_3, chunk_5_4, chunk_5_5, chunk_5_6, chunk_5_7, chunk_5_8, chunk_5_9, chunk_5_10, chunk_5_11, chunk_5_12, chunk_5_13, chunk_6_2, chunk_6_3, chunk_6_4, chunk_6_5, chunk_6_6, chunk_6_7, chunk_6_8, chunk_6_9, chunk_6_10, chunk_6_11, chunk_6_12, chunk_7_2, chunk_7_3, chunk_7_4, chunk_7_5, chunk_7_6, chunk_7_7, chunk_7_8, chunk_7_9, chunk_7_10, chunk_7_11, chunk_7_12, chunk_8_2, chunk_8_3, chunk_8_4, chunk_8_5, chunk_8_6, chunk_8_7, chunk_8_8, chunk_8_9, chunk_8_10, chunk_8_11, chunk_8_12, chunk_9_2, chunk_9_3, chunk_9_4, chunk_9_5, chunk_9_6, chunk_9_7, chunk_9_8, chunk_9_9, chunk_9_10, chunk_9_11, chunk_9_12, chunk_9_13, chunk_10_2, chunk_10_3, chunk_10_4, chunk_10_5, chunk_10_6, chunk_10_7, chunk_10_8, chunk_10_9, chunk_10_10, chunk_10_11, chunk_10_12, chunk_10_13, chunk_11_7, chunk_11_8, chunk_11_9, chunk_11_10, chunk_11_11, chunk_11_12"
Sarachnis,Kourend,mid-game,"chunk_1_8, chunk_1_9, chunk_1_10, chunk_2_7, chunk_2_8, chunk_2_9, chunk_2_10, chunk_2_11, chunk_3_6, chunk_3_7, chunk_3_8, chunk_3_9, chunk_3_10, chunk_3_11, chunk_3_12, chunk_3_13, chunk_4_4, chunk_4_5, chunk_4_6, chunk_4_7, chunk_4_8, chunk_4_9, chunk_4_10, chunk_4_11, chunk_4_12, chunk_4_13, chunk_5_2, chunk_5_3, chunk_5_4, chunk_5_5, chunk_5_6, chunk_5_7, chunk_5_8, chunk_5_9, chunk_5_10, chunk_5_11, chunk_5_12, chunk_5_13, chunk_6_2, chunk_6_3, chunk_6_4, chunk_6_5, chunk_6_6, chunk_6_7, chunk_6_8, chunk_6_9, chunk_6_10, chunk_6_11, chunk_6_12, chunk_7_2, chunk_7_3, chunk_7_4, chunk_7_5, chunk_7_6, chunk_7_7, chunk_7_8, chunk_7_9, chunk_7_10, chunk_7_11, chunk_7_12, chunk_8_2, chunk_8_3, chunk_8_4, chunk_8_5, chunk_8_6, chunk_8_7, chunk_8_8, chunk_8_9, chunk_8_10, chunk_8_11, chunk_8_12, chunk_9_2, chunk_9_3, chunk_9_4, chunk_9_5, chunk_9_6, chunk_9_7, chunk_9_8, chunk_9_9, chunk_9_10, chunk_9_11, chunk_9_12, chunk_9_13, chunk_10_2, chunk_10_3, chunk_10_4, chunk_10_5, chunk_10_6, chunk_10_7, chunk_10_8, chunk_10_9, chunk_10_10, chunk_10_11, chunk_10_12, chunk_10_13, chunk_11_7, chunk_11_8, chunk_11_9, chunk_11_10, chunk_11_11, chunk_11_12"
Skotizo,Kourend,mid-game,"chunk_1_8, chunk_1_9, chunk_1_10, chunk_2_7, chunk_2_8, chunk_2_9, chunk_2_10, chunk_2_11, chunk_3_6, chunk_3_7, chunk_3_8, chunk_3_9, chunk_3_10, chunk_3_11, chunk_3_12, chunk_3_13, chunk_4_4, chunk_4_5, chunk_4_6, chunk_4_7, chunk_4_8, chunk_4_9, chunk_4_10, chunk_4_11, chunk_4_12, chunk_4_13, chunk_5_2, chunk_5_3, chunk_5_4, chunk_5_5, chunk_5_6, chunk_5_7, chunk_5_8, chunk_5_9, chunk_5_10, chunk_5_11, chunk_5_12, chunk_5_13, chunk_6_2, chunk_6_3, chunk_6_4, chunk_6_5, chunk_6_6, chunk_6_7, chunk_6_8, chunk_6_9, chunk_6_10, chunk_6_11, chunk_6_12, chunk_7_2, chunk_7_3, chunk_7_4, chunk_7_5, chunk_7_6, chunk_7_7, chunk_7_8, chunk_7_9, chunk_7_10, chunk_7_11, chunk_7_12, chunk_8_2, chunk_8_3, chunk_8_4, chunk_8_5, chunk_8_6, chunk_8_7, chunk_8_8, chunk_8_9, chunk_8_10, chunk_8_11, chunk_8_12, chunk_9_2, chunk_9_3, chunk_9_4, chunk_9_5, chunk_9_6, chunk_9_7, chunk_9_8, chunk_9_9, chunk_9_10, chunk_9_11, chunk_9_12, chunk_9_13, chunk_10_2, chunk_10_3, chunk_10_4, chunk_10_5, chunk_10_6, chunk_10_7, chunk_10_8, chunk_10_9, chunk_10_10, chunk_10_11, chunk_10_12, chunk_10_13, chunk_11_7, chunk_11_8, chunk_11_9, chunk_11_10, chunk_11_11, chunk_11_12"
Great olm,Kourend,late-game,"chunk_1_8, chunk_1_9, chunk_1_10, chunk_2_7, chunk_2_8, chunk_2_9, chunk_2_10, chunk_2_11, chunk_3_6, chunk_3_7, chunk_3_8, chunk_3_9, chunk_3_10, chunk_3_11, chunk_3_12, chunk_3_13, chunk_4_4, chunk_4_5, chunk_4_6, chunk_4_7, chunk_4_8, chunk_4_9, chunk_4_10, chunk_4_11, chunk_4_12, chunk_4_13, chunk_5_2, chunk_5_3, chunk_5_4, chunk_5_5, chunk_5_6, chunk_5_7, chunk_5_8, chunk_5_9, chunk_5_10, chunk_5_11, chunk_5_12, chunk_5_13, chunk_6_2, chunk_6_3, chunk_6_4, chunk_6_5, chunk_6_6, chunk_6_7, chunk_6_8, chunk_6_9, chunk_6_10, chunk_6_11, chunk_6_12, chunk_7_2, chunk_7_3, chunk_7_4, chunk_7_5, chunk_7_6, chunk_7_7, chunk_7_8, chunk_7_9, chunk_7_10, chunk_7_11, chunk_7_12, chunk_8_2, chunk_8_3, chunk_8_4, chunk_8_5, chunk_8_6, chunk_8_7, chunk_8_8, chunk_8_9, chunk_8_10, chunk_8_11, chunk_8_12, chunk_9_2, chunk_9_3, chunk_9_4, chunk_9_5, chunk_9_6, chunk_9_7, chunk_9_8, chunk_9_9, chunk_9_10, chunk_9_11, chunk_9_12, chunk_9_13, chunk_10_2, chunk_10_3, chunk_10_4, chunk_10_5, chunk_10_6, chunk_10_7, chunk_10_8, chunk_10_9, chunk_10_10, chunk_10_11, chunk_10_12, chunk_10_13, chunk_11_7, chunk_11_8, chunk_11_9, chunk_11_10, chunk_11_11, chunk_11_12"
Yama,Kourend,end-game,"chunk_1_8, chunk_1_9, chunk_1_10, chunk_2_7, chunk_2_8, chunk_2_9, chunk_2_10, chunk_2_11, chunk_3_6, chunk_3_7, chunk_3_8, chunk_3_9, chunk_3_10, chunk_3_11, chunk_3_12, chunk_3_13, chunk_4_4, chunk_4_5, chunk_4_6, chunk_4_7, chunk_4_8, chunk_4_9, chunk_4_10, chunk_4_11, chunk_4_12, chunk_4_13, chunk_5_2, chunk_5_3, chunk_5_4, chunk_5_5, chunk_5_6, chunk_5_7, chunk_5_8, chunk_5_9, chunk_5_10, chunk_5_11, chunk_5_12, chunk_5_13, chunk_6_2, chunk_6_3, chunk_6_4, chunk_6_5, chunk_6_6, chunk_6_7, chunk_6_8, chunk_6_9, chunk_6_10, chunk_6_11, chunk_6_12, chunk_7_2, chunk_7_3, chunk_7_4, chunk_7_5, chunk_7_6, chunk_7_7, chunk_7_8, chunk_7_9, chunk_7_10, chunk_7_11, chunk_7_12, chunk_8_2, chunk_8_3, chunk_8_4, chunk_8_5, chunk_8_6, chunk_8_7, chunk_8_8, chunk_8_9, chunk_8_10, chunk_8_11, chunk_8_12, chunk_9_2, chunk_9_3, chunk_9_4, chunk_9_5, chunk_9_6, chunk_9_7, chunk_9_8, chunk_9_9, chunk_9_10, chunk_9_11, chunk_9_12, chunk_9_13, chunk_10_2, chunk_10_3, chunk_10_4, chunk_10_5, chunk_10_6, chunk_10_7, chunk_10_8, chunk_10_9, chunk_10_10, chunk_10_11, chunk_10_12, chunk_10_13, chunk_11_7, chunk_11_8, chunk_11_9, chunk_11_10, chunk_11_11, chunk_11_12"
Brutus,Misthalin,introductory,"chunk_10_32, chunk_10_33, chunk_10_34, chunk_10_35, chunk_10_36, chunk_10_37, chunk_11_32, chunk_11_33, chunk_11_34, chunk_11_35, chunk_11_36, chunk_12_32, chunk_12_33, chunk_12_34, chunk_12_35, chunk_12_36, chunk_13_32, chunk_13_33, chunk_13_34, chunk_14_32, chunk_14_33, chunk_14_34, chunk_15_32, chunk_15_33, chunk_15_34, chunk_16_32, chunk_17_32"
Obor,Misthalin,introductory,"chunk_10_32, chunk_10_33, chunk_10_34, chunk_10_35, chunk_10_36, chunk_10_37, chunk_11_32, chunk_11_33, chunk_11_34, chunk_11_35, chunk_11_36, chunk_12_32, chunk_12_33, chunk_12_34, chunk_12_35, chunk_12_36, chunk_13_32, chunk_13_33, chunk_13_34, chunk_14_32, chunk_14_33, chunk_14_34, chunk_15_32, chunk_15_33, chunk_15_34, chunk_16_32, chunk_17_33"
Bryophyta,Misthalin,introductory,"chunk_10_32, chunk_10_33, chunk_10_34, chunk_10_35, chunk_10_36, chunk_10_37, chunk_11_32, chunk_11_33, chunk_11_34, chunk_11_35, chunk_11_36, chunk_12_32, chunk_12_33, chunk_12_34, chunk_12_35, chunk_12_36, chunk_13_32, chunk_13_33, chunk_13_34, chunk_14_32, chunk_14_33, chunk_14_34, chunk_15_32, chunk_15_33, chunk_15_34, chunk_16_32, chunk_17_34"
Scurrius,Misthalin,introductory,"chunk_10_32, chunk_10_33, chunk_10_34, chunk_10_35, chunk_10_36, chunk_10_37, chunk_11_32, chunk_11_33, chunk_11_34, chunk_11_35, chunk_11_36, chunk_12_32, chunk_12_33, chunk_12_34, chunk_12_35, chunk_12_36, chunk_13_32, chunk_13_33, chunk_13_34, chunk_14_32, chunk_14_33, chunk_14_34, chunk_15_32, chunk_15_33, chunk_15_34, chunk_16_32, chunk_17_35"
Deranged archaeologist,Misthalin,mid-game,"chunk_10_32, chunk_10_33, chunk_10_34, chunk_10_35, chunk_10_36, chunk_10_37, chunk_11_32, chunk_11_33, chunk_11_34, chunk_11_35, chunk_11_36, chunk_12_32, chunk_12_33, chunk_12_34, chunk_12_35, chunk_12_36, chunk_13_32, chunk_13_33, chunk_13_34, chunk_14_32, chunk_14_33, chunk_14_34, chunk_15_32, chunk_15_33, chunk_15_34, chunk_16_32, chunk_17_35"
Barrows,Morytania,early-game,"chunk_8_37, chunk_9_37, chunk_9_38, chunk_9_39, chunk_9_40, chunk_9_41, chunk_10_37, chunk_10_38, chunk_10_39, chunk_10_40, chunk_10_41, chunk_11_37, chunk_11_38, chunk_11_39, chunk_11_40, chunk_11_41, chunk_11_42, chunk_12_37, chunk_12_38, chunk_12_39, chunk_12_40, chunk_12_41, chunk_12_42, chunk_13_37, chunk_13_38, chunk_13_39, chunk_13_40, chunk_13_41, chunk_13_42, chunk_14_37, chunk_14_38, chunk_14_39, chunk_14_40, chunk_14_41, chunk_14_42, chunk_15_37, chunk_15_38, chunk_15_39, chunk_15_40, chunk_15_41, chunk_15_42"
Verzik vitur,Morytania,late-game,"chunk_8_37, chunk_9_37, chunk_9_38, chunk_9_39, chunk_9_40, chunk_9_41, chunk_10_37, chunk_10_38, chunk_10_39, chunk_10_40, chunk_10_41, chunk_11_37, chunk_11_38, chunk_11_39, chunk_11_40, chunk_11_41, chunk_11_42, chunk_12_37, chunk_12_38, chunk_12_39, chunk_12_40, chunk_12_41, chunk_12_42, chunk_13_37, chunk_13_38, chunk_13_39, chunk_13_40, chunk_13_41, chunk_13_42, chunk_14_37, chunk_14_38, chunk_14_39, chunk_14_40, chunk_14_41, chunk_14_42, chunk_15_37, chunk_15_38, chunk_15_39, chunk_15_40, chunk_15_41, chunk_15_42"
The nightmare,Morytania,end-game,"chunk_8_37, chunk_9_37, chunk_9_38, chunk_9_39, chunk_9_40, chunk_9_41, chunk_10_37, chunk_10_38, chunk_10_39, chunk_10_40, chunk_10_41, chunk_11_37, chunk_11_38, chunk_11_39, chunk_11_40, chunk_11_41, chunk_11_42, chunk_12_37, chunk_12_38, chunk_12_39, chunk_12_40, chunk_12_41, chunk_12_42, chunk_13_37, chunk_13_38, chunk_13_39, chunk_13_40, chunk_13_41, chunk_13_42, chunk_14_37, chunk_14_38, chunk_14_39, chunk_14_40, chunk_14_41, chunk_14_42, chunk_15_37, chunk_15_38, chunk_15_39, chunk_15_40, chunk_15_41, chunk_15_42"
Zalcano,Tirannwn,mid-game,"chunk_11_16, chunk_11_17, chunk_11_18, chunk_11_19, chunk_11_20, chunk_12_16, chunk_12_17, chunk_12_18, chunk_12_19, chunk_12_20, chunk_12_21, chunk_13_16, chunk_13_17, chunk_13_18, chunk_13_19, chunk_13_20, chunk_13_21, chunk_14_16, chunk_14_17, chunk_14_18, chunk_14_19, chunk_14_20, chunk_14_21, chunk_15_16, chunk_15_17, chunk_15_18, chunk_15_19, chunk_15_20, chunk_15_21, chunk_16_16, chunk_16_17, chunk_16_18, chunk_16_19, chunk_16_20, chunk_17_16, chunk_17_17, chunk_17_18, chunk_17_19"
Zulrah,Tirannwn,mid-game,"chunk_11_16, chunk_11_17, chunk_11_18, chunk_11_19, chunk_11_20, chunk_12_16, chunk_12_17, chunk_12_18, chunk_12_19, chunk_12_20, chunk_12_21, chunk_13_16, chunk_13_17, chunk_13_18, chunk_13_19, chunk_13_20, chunk_13_21, chunk_14_16, chunk_14_17, chunk_14_18, chunk_14_19, chunk_14_20, chunk_14_21, chunk_15_16, chunk_15_17, chunk_15_18, chunk_15_19, chunk_15_20, chunk_15_21, chunk_16_16, chunk_16_17, chunk_16_18, chunk_16_19, chunk_16_20, chunk_17_16, chunk_17_17, chunk_17_18, chunk_17_19"
Gauntlet,Tirannwn,late-game,"chunk_11_16, chunk_11_17, chunk_11_18, chunk_11_19, chunk_11_20, chunk_12_16, chunk_12_17, chunk_12_18, chunk_12_19, chunk_12_20, chunk_12_21, chunk_13_16, chunk_13_17, chunk_13_18, chunk_13_19, chunk_13_20, chunk_13_21, chunk_14_16, chunk_14_17, chunk_14_18, chunk_14_19, chunk_14_20, chunk_14_21, chunk_15_16, chunk_15_17, chunk_15_18, chunk_15_19, chunk_15_20, chunk_15_21, chunk_16_16, chunk_16_17, chunk_16_18, chunk_16_19, chunk_16_20, chunk_17_16, chunk_17_17, chunk_17_18, chunk_17_19"
Corrupted gauntlet,Tirannwn,late-game,"chunk_11_16, chunk_11_17, chunk_11_18, chunk_11_19, chunk_11_20, chunk_12_16, chunk_12_17, chunk_12_18, chunk_12_19, chunk_12_20, chunk_12_21, chunk_13_16, chunk_13_17, chunk_13_18, chunk_13_19, chunk_13_20, chunk_13_21, chunk_14_16, chunk_14_17, chunk_14_18, chunk_14_19, chunk_14_20, chunk_14_21, chunk_15_16, chunk_15_17, chunk_15_18, chunk_15_19, chunk_15_20, chunk_15_21, chunk_16_16, chunk_16_17, chunk_16_18, chunk_16_19, chunk_16_20, chunk_17_16, chunk_17_17, chunk_17_18, chunk_17_19"
