boss,boss_image_reference,region,tier,chunks
Dummy region,Dummy,Dummy,introductory,"chunk_2_31, chunk_2_32, chunk_2_30, chunk_2_33, chunk_2_34, chunk_2_35, chunk_2_36, chunk_2_37, chunk_7_37, chunk_6_37, chunk_5_37, chunk_4_37, chunk_3_37, chunk_2_29, chunk_2_28, chunk_21_30, chunk_19_40, chunk_8_40, chunk_18_40, chunk_17_40, chunk_8_38, chunk_8_39, chunk_15_42, chunk_14_42, chunk_19_42, chunk_3_25, chunk_3_24, chunk_19_44, chunk_18_44, chunk_17_44, chunk_19_41, chunk_6_22, chunk_8_22, chunk_7_22, chunk_16_13, chunk_11_6, chunk_6_20, chunk_6_21, chunk_18_20, chunk_20_20, chunk_18_19, chunk_18_16, chunk_19_16, chunk_20_16, chunk_21_20, chunk_18_20, chunk_18_39, chunk_20_30, chunk_21_32, chunk_19_32, chunk_21_31, chunk_19_31"
Dagannoth kings,Dagannoth_Kings,Fremennik,early-game,"chunk_1_19, chunk_2_22, chunk_3_16, chunk_3_17, chunk_4_17, chunk_5_18, chunk_4_16, chunk_2_29, chunk_2_28, chunk_3_25, chunk_3_24, chunk_6_22, chunk_8_22, chunk_7_22, chunk_3_27, chunk_3_28, chunk_3_29, chunk_4_20, chunk_4_21, chunk_4_22, chunk_4_23, chunk_4_24, chunk_4_25, chunk_4_26, chunk_4_27, chunk_4_28, chunk_4_29, chunk_5_20, chunk_5_21, chunk_5_22, chunk_5_23, chunk_5_24, chunk_5_25, chunk_5_26, chunk_5_27, chunk_5_28, chunk_5_29, chunk_6_20, chunk_6_21, chunk_6_23, chunk_6_24, chunk_6_25, chunk_6_26, chunk_6_27, chunk_7_23, chunk_7_24, chunk_7_25, chunk_7_26, chunk_7_27, chunk_8_23, chunk_8_24, chunk_8_25, chunk_8_26, chunk_8_27"
Vorkath,Vorkath,Fremennik,mid-game,"chunk_1_19, chunk_2_22, chunk_3_16, chunk_3_17, chunk_4_17, chunk_5_18, chunk_4_16, chunk_2_29, chunk_2_28, chunk_3_25, chunk_3_24, chunk_6_22, chunk_8_22, chunk_7_22, chunk_3_27, chunk_3_28, chunk_3_29, chunk_4_20, chunk_4_21, chunk_4_22, chunk_4_23, chunk_4_24, chunk_4_25, chunk_4_26, chunk_4_27, chunk_4_28, chunk_4_29, chunk_5_20, chunk_5_21, chunk_5_22, chunk_5_23, chunk_5_24, chunk_5_25, chunk_5_26, chunk_5_27, chunk_5_28, chunk_5_29, chunk_6_20, chunk_6_21, chunk_6_23, chunk_6_24, chunk_6_25, chunk_6_26, chunk_6_27, chunk_7_23, chunk_7_24, chunk_7_25, chunk_7_26, chunk_7_27, chunk_8_23, chunk_8_24, chunk_8_25, chunk_8_26, chunk_8_27"
Phantom muspah,Phantom_Muspah,Fremennik,late-game,"chunk_1_19, chunk_2_22, chunk_3_16, chunk_3_17, chunk_4_17, chunk_5_18, chunk_4_16, chunk_2_29, chunk_2_28, chunk_3_25, chunk_3_24, chunk_6_22, chunk_8_22, chunk_7_22, chunk_3_27, chunk_3_28, chunk_3_29, chunk_4_20, chunk_4_21, chunk_4_22, chunk_4_23, chunk_4_24, chunk_4_25, chunk_4_26, chunk_4_27, chunk_4_28, chunk_4_29, chunk_5_20, chunk_5_21, chunk_5_22, chunk_5_23, chunk_5_24, chunk_5_25, chunk_5_26, chunk_5_27, chunk_5_28, chunk_5_29, chunk_6_20, chunk_6_21, chunk_6_23, chunk_6_24, chunk_6_25, chunk_6_26, chunk_6_27, chunk_7_23, chunk_7_24, chunk_7_25, chunk_7_26, chunk_7_27, chunk_8_23, chunk_8_24, chunk_8_25, chunk_8_26, chunk_8_27"
Duke sucellus,Duke_Sucellus,Fremennik,late-game,"chunk_1_19, chunk_2_22, chunk_3_16, chunk_3_17, chunk_4_17, chunk_5_18, chunk_4_16, chunk_2_29, chunk_2_28, chunk_3_25, chunk_3_24, chunk_6_22, chunk_8_22, chunk_7_22, chunk_3_27, chunk_3_28, chunk_3_29, chunk_4_20, chunk_4_21, chunk_4_22, chunk_4_23, chunk_4_24, chunk_4_25, chunk_4_26, chunk_4_27, chunk_4_28, chunk_4_29, chunk_5_20, chunk_5_21, chunk_5_22, chunk_5_23, chunk_5_24, chunk_5_25, chunk_5_26, chunk_5_27, chunk_5_28, chunk_5_29, chunk_6_20, chunk_6_21, chunk_6_23, chunk_6_24, chunk_6_25, chunk_6_26, chunk_6_27, chunk_7_23, chunk_7_24, chunk_7_25, chunk_7_26, chunk_7_27, chunk_8_23, chunk_8_24, chunk_8_25, chunk_8_26, chunk_8_27"
Tztok-jad,TzTok-Jad,Karamja,mid-game,"chunk_14_26, chunk_14_27, chunk_14_28, chunk_15_26, chunk_15_27, chunk_15_28, chunk_15_29, chunk_15_30, chunk_16_27, chunk_16_28, chunk_16_29, chunk_16_30, chunk_17_27, chunk_17_28, chunk_17_29, chunk_17_30, chunk_18_27, chunk_18_28, chunk_18_29, chunk_18_30, chunk_19_27, chunk_19_28, chunk_19_29, chunk_19_30"
Tzkal-zuk,TzKal-Zuk,Karamja,end-game,"chunk_14_26, chunk_14_27, chunk_14_28, chunk_15_26, chunk_15_27, chunk_15_28, chunk_15_29, chunk_15_30, chunk_16_27, chunk_16_28, chunk_16_29, chunk_16_30, chunk_17_27, chunk_17_28, chunk_17_29, chunk_17_30, chunk_18_27, chunk_18_28, chunk_18_29, chunk_18_30, chunk_19_27, chunk_19_28, chunk_19_29, chunk_19_30"
Kandarin region,Kandarin,Kandarin,introductory,"chunk_12_21, chunk_17_25, chunk_9_27, chunk_7_20, chunk_8_19, chunk_8_20, chunk_8_21, chunk_9_19, chunk_10_28, chunk_9_20, chunk_9_21, chunk_10_19, chunk_10_20, chunk_10_21, chunk_11_21, chunk_11_22, chunk_11_23, chunk_11_24, chunk_8_27, chunk_8_26, chunk_8_25, chunk_11_25, chunk_11_26, chunk_11_27, chunk_11_28, chunk_12_23, chunk_12_24, chunk_12_25, chunk_12_26, chunk_12_27, chunk_10_27, chunk_8_23, chunk_7_19, chunk_21_26, chunk_21_27, chunk_22_26, chunk_22_27, chunk_22_29, chunk_18_25, chunk_14_23, chunk_13_23, chunk_13_24, chunk_13_25, chunk_13_26, chunk_13_27, chunk_14_25, chunk_16_24, chunk_16_25, chunk_10_25, chunk_19_22, chunk_19_23, chunk_15_25, chunk_18_24, chunk_18_23, chunk_18_22, chunk_16_21, chunk_17_21, chunk_17_24, chunk_17_23, chunk_16_22, chunk_17_22, chunk_17_20, chunk_10_22, chunk_10_23, chunk_10_24, chunk_20_23, chunk_9_22, chunk_9_23, chunk_9_24, chunk_12_22, chunk_13_22, chunk_14_22, chunk_20_24, chunk_19_24, chunk_10_26, chunk_20_22, chunk_15_22, chunk_16_23, chunk_15_23, chunk_15_24, chunk_9_26, chunk_9_25, chunk_14_24, "
Wintertodt,Wintertodt,Kourend,introductory,"chunk_1_8, chunk_1_9, chunk_1_10, chunk_2_7, chunk_2_8, chunk_2_9, chunk_2_10, chunk_2_11, chunk_3_6, chunk_3_7, chunk_3_8, chunk_3_9, chunk_3_10, chunk_3_11, chunk_3_12, chunk_3_13, chunk_4_4, chunk_4_5, chunk_4_6, chunk_4_7, chunk_4_8, chunk_4_9, chunk_4_10, chunk_4_11, chunk_4_12, chunk_4_13, chunk_5_2, chunk_5_3, chunk_5_4, chunk_5_5, chunk_5_6, chunk_5_7, chunk_5_8, chunk_5_9, chunk_5_10, chunk_5_11, chunk_5_12, chunk_5_13, chunk_6_2, chunk_6_3, chunk_6_4, chunk_6_5, chunk_6_6, chunk_6_7, chunk_6_8, chunk_6_9, chunk_6_10, chunk_6_11, chunk_6_12, chunk_7_2, chunk_7_3, chunk_7_4, chunk_7_5, chunk_7_6, chunk_7_7, chunk_7_8, chunk_7_9, chunk_7_10, chunk_7_11, chunk_7_12, chunk_8_2, chunk_8_3, chunk_8_4, chunk_8_5, chunk_8_6, chunk_8_7, chunk_8_8, chunk_8_9, chunk_8_10, chunk_8_11, chunk_8_12, chunk_9_2, chunk_9_3, chunk_9_4, chunk_9_5, chunk_9_6, chunk_9_7, chunk_9_8, chunk_9_9, chunk_9_10, chunk_9_11, chunk_9_12, chunk_9_13, chunk_10_2, chunk_10_3, chunk_10_4, chunk_10_5, chunk_10_6, chunk_10_7, chunk_10_8, chunk_10_9, chunk_10_10, chunk_10_11, chunk_10_12, chunk_10_13, chunk_11_7, chunk_11_8, chunk_11_9, chunk_11_10, chunk_11_11, chunk_11_12"
Hespori,Hespori,Kourend,mid-game,"chunk_1_8, chunk_1_9, chunk_1_10, chunk_2_7, chunk_2_8, chunk_2_9, chunk_2_10, chunk_2_11, chunk_3_6, chunk_3_7, chunk_3_8, chunk_3_9, chunk_3_10, chunk_3_11, chunk_3_12, chunk_3_13, chunk_4_4, chunk_4_5, chunk_4_6, chunk_4_7, chunk_4_8, chunk_4_9, chunk_4_10, chunk_4_11, chunk_4_12, chunk_4_13, chunk_5_2, chunk_5_3, chunk_5_4, chunk_5_5, chunk_5_6, chunk_5_7, chunk_5_8, chunk_5_9, chunk_5_10, chunk_5_11, chunk_5_12, chunk_5_13, chunk_6_2, chunk_6_3, chunk_6_4, chunk_6_5, chunk_6_6, chunk_6_7, chunk_6_8, chunk_6_9, chunk_6_10, chunk_6_11, chunk_6_12, chunk_7_2, chunk_7_3, chunk_7_4, chunk_7_5, chunk_7_6, chunk_7_7, chunk_7_8, chunk_7_9, chunk_7_10, chunk_7_11, chunk_7_12, chunk_8_2, chunk_8_3, chunk_8_4, chunk_8_5, chunk_8_6, chunk_8_7, chunk_8_8, chunk_8_9, chunk_8_10, chunk_8_11, chunk_8_12, chunk_9_2, chunk_9_3, chunk_9_4, chunk_9_5, chunk_9_6, chunk_9_7, chunk_9_8, chunk_9_9, chunk_9_10, chunk_9_11, chunk_9_12, chunk_9_13, chunk_10_2, chunk_10_3, chunk_10_4, chunk_10_5, chunk_10_6, chunk_10_7, chunk_10_8, chunk_10_9, chunk_10_10, chunk_10_11, chunk_10_12, chunk_10_13, chunk_11_7, chunk_11_8, chunk_11_9, chunk_11_10, chunk_11_11, chunk_11_12"
Sarachnis,Sarachnis,Kourend,mid-game,"chunk_1_8, chunk_1_9, chunk_1_10, chunk_2_7, chunk_2_8, chunk_2_9, chunk_2_10, chunk_2_11, chunk_3_6, chunk_3_7, chunk_3_8, chunk_3_9, chunk_3_10, chunk_3_11, chunk_3_12, chunk_3_13, chunk_4_4, chunk_4_5, chunk_4_6, chunk_4_7, chunk_4_8, chunk_4_9, chunk_4_10, chunk_4_11, chunk_4_12, chunk_4_13, chunk_5_2, chunk_5_3, chunk_5_4, chunk_5_5, chunk_5_6, chunk_5_7, chunk_5_8, chunk_5_9, chunk_5_10, chunk_5_11, chunk_5_12, chunk_5_13, chunk_6_2, chunk_6_3, chunk_6_4, chunk_6_5, chunk_6_6, chunk_6_7, chunk_6_8, chunk_6_9, chunk_6_10, chunk_6_11, chunk_6_12, chunk_7_2, chunk_7_3, chunk_7_4, chunk_7_5, chunk_7_6, chunk_7_7, chunk_7_8, chunk_7_9, chunk_7_10, chunk_7_11, chunk_7_12, chunk_8_2, chunk_8_3, chunk_8_4, chunk_8_5, chunk_8_6, chunk_8_7, chunk_8_8, chunk_8_9, chunk_8_10, chunk_8_11, chunk_8_12, chunk_9_2, chunk_9_3, chunk_9_4, chunk_9_5, chunk_9_6, chunk_9_7, chunk_9_8, chunk_9_9, chunk_9_10, chunk_9_11, chunk_9_12, chunk_9_13, chunk_10_2, chunk_10_3, chunk_10_4, chunk_10_5, chunk_10_6, chunk_10_7, chunk_10_8, chunk_10_9, chunk_10_10, chunk_10_11, chunk_10_12, chunk_10_13, chunk_11_7, chunk_11_8, chunk_11_9, chunk_11_10, chunk_11_11, chunk_11_12"
Skotizo,Skotizo,Kourend,mid-game,"chunk_1_8, chunk_1_9, chunk_1_10, chunk_2_7, chunk_2_8, chunk_2_9, chunk_2_10, chunk_2_11, chunk_3_6, chunk_3_7, chunk_3_8, chunk_3_9, chunk_3_10, chunk_3_11, chunk_3_12, chunk_3_13, chunk_4_4, chunk_4_5, chunk_4_6, chunk_4_7, chunk_4_8, chunk_4_9, chunk_4_10, chunk_4_11, chunk_4_12, chunk_4_13, chunk_5_2, chunk_5_3, chunk_5_4, chunk_5_5, chunk_5_6, chunk_5_7, chunk_5_8, chunk_5_9, chunk_5_10, chunk_5_11, chunk_5_12, chunk_5_13, chunk_6_2, chunk_6_3, chunk_6_4, chunk_6_5, chunk_6_6, chunk_6_7, chunk_6_8, chunk_6_9, chunk_6_10, chunk_6_11, chunk_6_12, chunk_7_2, chunk_7_3, chunk_7_4, chunk_7_5, chunk_7_6, chunk_7_7, chunk_7_8, chunk_7_9, chunk_7_10, chunk_7_11, chunk_7_12, chunk_8_2, chunk_8_3, chunk_8_4, chunk_8_5, chunk_8_6, chunk_8_7, chunk_8_8, chunk_8_9, chunk_8_10, chunk_8_11, chunk_8_12, chunk_9_2, chunk_9_3, chunk_9_4, chunk_9_5, chunk_9_6, chunk_9_7, chunk_9_8, chunk_9_9, chunk_9_10, chunk_9_11, chunk_9_12, chunk_9_13, chunk_10_2, chunk_10_3, chunk_10_4, chunk_10_5, chunk_10_6, chunk_10_7, chunk_10_8, chunk_10_9, chunk_10_10, chunk_10_11, chunk_10_12, chunk_10_13, chunk_11_7, chunk_11_8, chunk_11_9, chunk_11_10, chunk_11_11, chunk_11_12"
Great olm,Chambers_of_Xeric,Kourend,late-game,"chunk_1_8, chunk_1_9, chunk_1_10, chunk_2_7, chunk_2_8, chunk_2_9, chunk_2_10, chunk_2_11, chunk_3_6, chunk_3_7, chunk_3_8, chunk_3_9, chunk_3_10, chunk_3_11, chunk_3_12, chunk_3_13, chunk_4_4, chunk_4_5, chunk_4_6, chunk_4_7, chunk_4_8, chunk_4_9, chunk_4_10, chunk_4_11, chunk_4_12, chunk_4_13, chunk_5_2, chunk_5_3, chunk_5_4, chunk_5_5, chunk_5_6, chunk_5_7, chunk_5_8, chunk_5_9, chunk_5_10, chunk_5_11, chunk_5_12, chunk_5_13, chunk_6_2, chunk_6_3, chunk_6_4, chunk_6_5, chunk_6_6, chunk_6_7, chunk_6_8, chunk_6_9, chunk_6_10, chunk_6_11, chunk_6_12, chunk_7_2, chunk_7_3, chunk_7_4, chunk_7_5, chunk_7_6, chunk_7_7, chunk_7_8, chunk_7_9, chunk_7_10, chunk_7_11, chunk_7_12, chunk_8_2, chunk_8_3, chunk_8_4, chunk_8_5, chunk_8_6, chunk_8_7, chunk_8_8, chunk_8_9, chunk_8_10, chunk_8_11, chunk_8_12, chunk_9_2, chunk_9_3, chunk_9_4, chunk_9_5, chunk_9_6, chunk_9_7, chunk_9_8, chunk_9_9, chunk_9_10, chunk_9_11, chunk_9_12, chunk_9_13, chunk_10_2, chunk_10_3, chunk_10_4, chunk_10_5, chunk_10_6, chunk_10_7, chunk_10_8, chunk_10_9, chunk_10_10, chunk_10_11, chunk_10_12, chunk_10_13, chunk_11_7, chunk_11_8, chunk_11_9, chunk_11_10, chunk_11_11, chunk_11_12"
Yama,Yama,Kourend,end-game,"chunk_1_8, chunk_1_9, chunk_1_10, chunk_2_7, chunk_2_8, chunk_2_9, chunk_2_10, chunk_2_11, chunk_3_6, chunk_3_7, chunk_3_8, chunk_3_9, chunk_3_10, chunk_3_11, chunk_3_12, chunk_3_13, chunk_4_4, chunk_4_5, chunk_4_6, chunk_4_7, chunk_4_8, chunk_4_9, chunk_4_10, chunk_4_11, chunk_4_12, chunk_4_13, chunk_5_2, chunk_5_3, chunk_5_4, chunk_5_5, chunk_5_6, chunk_5_7, chunk_5_8, chunk_5_9, chunk_5_10, chunk_5_11, chunk_5_12, chunk_5_13, chunk_6_2, chunk_6_3, chunk_6_4, chunk_6_5, chunk_6_6, chunk_6_7, chunk_6_8, chunk_6_9, chunk_6_10, chunk_6_11, chunk_6_12, chunk_7_2, chunk_7_3, chunk_7_4, chunk_7_5, chunk_7_6, chunk_7_7, chunk_7_8, chunk_7_9, chunk_7_10, chunk_7_11, chunk_7_12, chunk_8_2, chunk_8_3, chunk_8_4, chunk_8_5, chunk_8_6, chunk_8_7, chunk_8_8, chunk_8_9, chunk_8_10, chunk_8_11, chunk_8_12, chunk_9_2, chunk_9_3, chunk_9_4, chunk_9_5, chunk_9_6, chunk_9_7, chunk_9_8, chunk_9_9, chunk_9_10, chunk_9_11, chunk_9_12, chunk_9_13, chunk_10_2, chunk_10_3, chunk_10_4, chunk_10_5, chunk_10_6, chunk_10_7, chunk_10_8, chunk_10_9, chunk_10_10, chunk_10_11, chunk_10_12, chunk_10_13, chunk_11_7, chunk_11_8, chunk_11_9, chunk_11_10, chunk_11_11, chunk_11_12"
Brutus,Brutus,Misthalin,introductory,"chunk_18_17, chunk_18_16, chunk_19_16, chunk_20_16, chunk_19_17, chunk_20_17, chunk_18_18, chunk_19_18, chunk_20_18, chunk_21_17, chunk_21_18, chunk_18_19, chunk_18_20, chunk_19_19, chunk_19_20, chunk_20_19, chunk_20_20, chunk_21_20, chunk_21_19, chunk_10_32, chunk_10_33, chunk_10_34, chunk_10_35, chunk_10_36, chunk_10_37, chunk_11_32, chunk_11_33, chunk_11_34, chunk_11_35, chunk_11_36, chunk_12_32, chunk_12_33, chunk_12_34, chunk_12_35, chunk_12_36, chunk_13_32, chunk_13_33, chunk_13_34, chunk_14_32, chunk_14_33, chunk_14_34, chunk_15_32, chunk_15_33, chunk_15_34"
Obor,Obor,Misthalin,introductory,"chunk_18_17, chunk_18_16, chunk_19_16, chunk_20_16, chunk_19_17, chunk_20_17, chunk_18_18, chunk_19_18, chunk_20_18, chunk_21_17, chunk_21_18, chunk_18_19, chunk_18_20, chunk_19_19, chunk_19_20, chunk_20_19, chunk_20_20, chunk_21_20, chunk_21_19, chunk_10_32, chunk_10_33, chunk_10_34, chunk_10_35, chunk_10_36, chunk_10_37, chunk_11_32, chunk_11_33, chunk_11_34, chunk_11_35, chunk_11_36, chunk_12_32, chunk_12_33, chunk_12_34, chunk_12_35, chunk_12_36, chunk_13_32, chunk_13_33, chunk_13_34, chunk_14_32, chunk_14_33, chunk_14_34, chunk_15_32, chunk_15_33, chunk_15_34"
Leviathan,The_Leviathan,Misthalin,late-game,"chunk_18_17, chunk_18_16, chunk_19_16, chunk_20_16, chunk_19_17, chunk_20_17, chunk_18_18, chunk_19_18, chunk_20_18, chunk_21_17, chunk_21_18, chunk_18_19, chunk_18_20, chunk_19_19, chunk_19_20, chunk_20_19, chunk_20_20, chunk_21_20, chunk_21_19, chunk_10_32, chunk_10_33, chunk_10_34, chunk_10_35, chunk_10_36, chunk_10_37, chunk_11_32, chunk_11_33, chunk_11_34, chunk_11_35, chunk_11_36, chunk_12_32, chunk_12_33, chunk_12_34, chunk_12_35, chunk_12_36, chunk_13_32, chunk_13_33, chunk_13_34, chunk_14_32, chunk_14_33, chunk_14_34, chunk_15_32, chunk_15_33, chunk_15_34"
Bryophyta,Bryophyta,Misthalin,introductory,"chunk_18_17, chunk_18_16, chunk_19_16, chunk_20_16, chunk_19_17, chunk_20_17, chunk_18_18, chunk_19_18, chunk_20_18, chunk_21_17, chunk_21_18, chunk_18_19, chunk_18_20, chunk_19_19, chunk_19_20, chunk_20_19, chunk_20_20, chunk_21_20, chunk_21_19, chunk_10_32, chunk_10_33, chunk_10_34, chunk_10_35, chunk_10_36, chunk_10_37, chunk_11_32, chunk_11_33, chunk_11_34, chunk_11_35, chunk_11_36, chunk_12_32, chunk_12_33, chunk_12_34, chunk_12_35, chunk_12_36, chunk_13_32, chunk_13_33, chunk_13_34, chunk_14_32, chunk_14_33, chunk_14_34, chunk_15_32, chunk_15_33, chunk_15_34"
