Monster;Reference_to_boss_images;Tier;Type;HasSlayerRequirement;RequiresGroup;Combat_achievement_name;Description
Brutus;Brutus;Hard;Mechanical;No;No;Smarter than a Cow;Kill Brutus without being attacked.
Brutus;Brutus;Elite;Speed;No;No;Brutus Speed-Trialist;Kill Brutus in less than 2 seconds.
Bryophyta;Bryophyta; Easy;Perfection;No;No;Preparation Is Key;Kill Bryophyta without suffering any poison damage.
Bryophyta;Bryophyta; Easy;Kill Count;No;No;Bryophyta Novice;Open Bryophyta's chest once.
Bryophyta;Bryophyta; Easy;Restriction;No;No;A Slow Death;Kill Bryophyta with either poison or venom being the final source of damage.
Bryophyta;Bryophyta; Easy;Mechanical;No;No;Protection from Moss;Kill Bryophyta with the Protect from Magic prayer active.
Bryophyta;Bryophyta; Easy;Restriction;No;No;Fighting as Intended II;Kill Bryophyta on a free to play world.
Bryophyta;Bryophyta; Medium;Kill Count;No;No;Bryophyta Champion;Open Bryophyta's chest 5 times.
Bryophyta;Bryophyta; Medium;Mechanical;No;No;Quick Cutter;Kill all 3 of Bryophyta's growthlings within 3 seconds of the first one dying.
Callisto;Callisto; Hard;Kill Count;No;No;Callisto Adept;Kill Callisto 10 times.
Callisto;Callisto; Elite;Kill Count;No;No;Callisto Veteran;Kill Callisto 20 times.
Cerberus;Cerberus; Elite;Mechanical;Yes;No;Ghost Buster;Kill Cerberus after successfully negating 6 or more attacks from Summoned Souls.
Cerberus;Cerberus; Elite;Perfection;Yes;No;Unrequired Antifire;Kill Cerberus without taking damage from any lava pools.
Cerberus;Cerberus; Elite;Kill Count;Yes;No;Cerberus Veteran;Kill Cerberus 75 times.
Cerberus;Cerberus; Elite;Perfection;Yes;No;Anti-Bite Mechanics;Kill Cerberus without taking any melee damage.
Cerberus;Cerberus; Master;Mechanical;Yes;No;Arooo No More;Kill Cerberus without any of the Summoned Souls being spawned.
Cerberus;Cerberus; Master;Kill Count;Yes;No;Cerberus Master;Kill Cerberus 150 times.
Chambers of Xeric;Chambers_of_Xeric; Elite;Perfection;No;No;Dancing with Statues;Receive kill-credit for a Stone Guardian without taking damage from falling rocks.
Chambers of Xeric;Chambers_of_Xeric; Elite;Mechanical;No;No;Together We'll Fall;Kill the Vanguards within 10 seconds of the first one dying.
Chambers of Xeric;Chambers_of_Xeric; Elite;Perfection;No;No;Undying Raid Team;Complete a Chambers of Xeric raid without anyone dying.
Chambers of Xeric;Chambers_of_Xeric; Elite;Perfection;No;No;Cryo No More;Receive kill-credit for the Ice Demon without taking any damage.
Chambers of Xeric;Chambers_of_Xeric; Elite;Mechanical;No;No;Perfectly Balanced;Kill the Vanguards without them resetting their health.
Chambers of Xeric;Chambers_of_Xeric; Elite;Restriction;No;No;Kill It with Fire;Finish off the Ice Demon with a fire spell.
Chambers of Xeric;Chambers_of_Xeric; Elite;Kill Count;No;No;Chambers of Xeric Veteran;Complete the Chambers of Xeric 25 times.
Chambers of Xeric;Chambers_of_Xeric; Elite;Restriction;No;No;Blizzard Dodger;Receive kill-credit for the Ice Demon without activating the Protect from Range prayer.
Chambers of Xeric;Chambers_of_Xeric; Elite;Perfection;No;No;Shayzien Specialist;Receive kill-credit for a Lizardman Shaman without taking damage from any shamans in the room.
Chambers of Xeric;Chambers_of_Xeric; Elite;Mechanical;No;No;Redemption Enthusiast;Kill the Abyssal Portal without forcing Vespula to land.
Chambers of Xeric;Chambers_of_Xeric; Elite;Mechanical;No;No;Mutta-diet;Kill the Muttadile without letting her or her baby recover hitpoints from the meat tree.
Chambers of Xeric;Chambers_of_Xeric; Master;Speed;No;Yes;Chambers of Xeric (5-Scale) Speed-Chaser;Complete a Chambers of Xeric (5-scale) in less than 15 minutes.
Chambers of Xeric;Chambers_of_Xeric; Master;Speed;No;No;Chambers of Xeric (Solo) Speed-Chaser;Complete a Chambers of Xeric (Solo) in less than 21 minutes.
Chambers of Xeric;Chambers_of_Xeric; Master;Mechanical;No;No;No Time for Death;Clear the Tightrope room without Killing any Deathly Mages or Deathly Rangers.
Chambers of Xeric;Chambers_of_Xeric; Master;Kill Count;No;No;Chambers of Xeric Master;Complete the Chambers of Xeric 75 times.
Chambers of Xeric;Chambers_of_Xeric; Master;Mechanical;No;No;Anvil No More;Kill Tekton before he returns to his anvil for a second time after the fight begins.
Chambers of Xeric;Chambers_of_Xeric; Master;Perfection;No;No;Playing with Lasers;Clear the Crystal Crabs room without wasting an orb after the first crystal has been activated.
Chambers of Xeric;Chambers_of_Xeric; Master;Perfection;No;No;Blind Spot;Kill Tekton without taking any damage.
Chambers of Xeric;Chambers_of_Xeric; Master;Perfection;No;No;Undying Raider;Complete a Chambers of Xeric solo raid without dying.
Chambers of Xeric;Chambers_of_Xeric; Master;Perfection;No;No;Perfect Olm (Solo);Kill the Great Olm in a solo raid without taking damage from any of the following: Teleport portals, Fire Walls, Healing pools, Crystal Bombs, Crystal Burst or Prayer Orbs. You also cannot let his claws regenerate or take damage from the same acid pool back to back.
Chambers of Xeric;Chambers_of_Xeric; Master;Mechanical;No;No;A Not So Special Lizard;Kill the Great Olm in a solo raid without letting him use any of the following special attacks in his second to last phase: Crystal Burst, Lightning Walls, Teleportation Portals or left-hand autohealing.
Chambers of Xeric;Chambers_of_Xeric; Master;Mechanical;No;No;Putting It Olm on the Line;Complete a Chambers of Xeric solo raid with more than 40,000 points.
Chambers of Xeric;Chambers_of_Xeric; Master;Mechanical;No;No;Stop Drop and Roll;Kill Vasa Nistirio before he performs his teleport attack for the second time.
Chambers of Xeric;Chambers_of_Xeric; Master;Speed;No;Yes;Chambers of Xeric (Trio) Speed-Chaser;Complete a Chambers of Xeric (Trio) in less than 16 minutes and 30 seconds.
Chambers of Xeric;Chambers_of_Xeric; Master;Perfection;No;Yes;Perfect Olm (Trio);Kill the Great Olm in a trio raid without any team member taking damage from any of the following: Teleport portals, Fire Walls, Healing pools, Crystal Bombs, Crystal Burst or Prayer Orbs. You also cannot let his claws regenerate or take damage from the same acid pool back to back.
Chambers of Xeric;Chambers_of_Xeric; Grandmaster;Speed;No;Yes;Chambers of Xeric (5-Scale) Speed-Runner;Complete a Chambers of Xeric (5-scale) in less than 12 minutes and 30 seconds.
Chambers of Xeric;Chambers_of_Xeric; Grandmaster;Speed;No;No;Chambers of Xeric (Solo) Speed-Runner;Complete a Chambers of Xeric (Solo) in less than 17 minutes.
Chambers of Xeric;Chambers_of_Xeric; Grandmaster;Speed;No;Yes;Chambers of Xeric (Trio) Speed-Runner;Complete a Chambers of Xeric (Trio) in less than 14 minutes and 30 seconds.
Chambers of Xeric;Chambers_of_Xeric; Grandmaster;Kill Count;No;No;Chambers of Xeric Grandmaster;Complete the Chambers of Xeric 150 times.
Chambers of Xeric;Chambers_of_Xeric; Elite;Speed;No;No;Dust Seeker;Complete a Chambers of Xeric Challenge mode raid in the target time.
Chambers of Xeric;Chambers_of_Xeric; Master;Speed;No;No;Chambers of Xeric: CM (Solo) Speed-Chaser;Complete a Chambers of Xeric: Challenge Mode (Solo) in less than 45 minutes.
Chambers of Xeric;Chambers_of_Xeric; Master;Kill Count;No;No;Chambers of Xeric: CM Master;Complete the Chambers of Xeric: Challenge Mode 10 times.
Chambers of Xeric;Chambers_of_Xeric; Master;Speed;No;Yes;Chambers of Xeric: CM (5-Scale) Speed-Chaser;Complete a Chambers of Xeric: Challenge Mode (5-scale) in less than 30 minutes.
Chambers of Xeric;Chambers_of_Xeric; Master;Speed;No;Yes;Chambers of Xeric: CM (Trio) Speed-Chaser;Complete a Chambers of Xeric: Challenge Mode (Trio) in less than 35 minutes.
Chambers of Xeric;Chambers_of_Xeric; Master;Perfection;No;No;Immortal Raider;Complete a Chambers of Xeric Challenge mode (Solo) raid without dying.
Chambers of Xeric;Chambers_of_Xeric; Master;Perfection;No;Yes;Immortal Raid Team;Complete a Chambers of Xeric: Challenge mode raid without anyone dying.
Chambers of Xeric;Chambers_of_Xeric; Grandmaster;Speed;No;No;Chambers of Xeric: CM (Solo) Speed-Runner;Complete a Chambers of Xeric: Challenge Mode (Solo) in less than 38 minutes and 30 seconds.
Chambers of Xeric;Chambers_of_Xeric; Grandmaster;Kill Count;No;No;Chambers of Xeric: CM Grandmaster;Complete the Chambers of Xeric: Challenge Mode 25 times.
Chambers of Xeric;Chambers_of_Xeric; Grandmaster;Speed;No;Yes;Chambers of Xeric: CM (5-Scale) Speed-Runner;Complete a Chambers of Xeric: Challenge Mode (5-scale) in less than 25 minutes.
Chambers of Xeric;Chambers_of_Xeric; Grandmaster;Speed;No;Yes;Chambers of Xeric: CM (Trio) Speed-Runner;Complete a Chambers of Xeric: Challenge Mode (Trio) in less than 27 minutes.
Chaos Elemental;Chaos_Elemental; Hard;Kill Count;No;No;Chaos Elemental Adept;Kill the Chaos Elemental 10 times.
Chaos Elemental;Chaos_Elemental; Hard;Perfection;No;No;The Flincher;Kill the Chaos Elemental without taking any damage from its attacks.
Chaos Elemental;Chaos_Elemental; Hard;Mechanical;No;No;Hoarder;Kill the Chaos Elemental without it unequipping any of your items.
Chaos Elemental;Chaos_Elemental; Elite;Kill Count;No;No;Chaos Elemental Veteran;Kill the Chaos Elemental 25 times.
Chaos Fanatic;Chaos_Fanatic; Medium;Perfection;No;No;Sorry, What Was That?;Kill the Chaos Fanatic without anyone being hit by his explosion attack.
Chaos Fanatic;Chaos_Fanatic; Medium;Kill Count;No;No;Chaos Fanatic Champion;Kill the Chaos Fanatic 10 times.
Chaos Fanatic;Chaos_Fanatic; Hard;Restriction;No;No;Praying to the Gods;Kill the Chaos Fanatic 10 times without drinking any potion which restores prayer or leaving the Wilderness.
Chaos Fanatic;Chaos_Fanatic; Hard;Kill Count;No;No;Chaos Fanatic Adept;Kill the Chaos Fanatic 25 times.
Commander Zilyana;Commander_Zilyana; Hard;Mechanical;No;No;Commander Showdown;Finish off Commander Zilyana while all of her bodyguards are dead.
Commander Zilyana;Commander_Zilyana; Hard;Kill Count;No;No;Commander Zilyana Adept;Kill Commander Zilyana 50 times.
Commander Zilyana;Commander_Zilyana; Elite;Restriction;No;No;Reminisce;Kill Commander Zilyana in a private instance with melee only.
Commander Zilyana;Commander_Zilyana; Elite;Kill Count;No;No;Commander Zilyana Veteran;Kill Commander Zilyana 100 times.
Commander Zilyana;Commander_Zilyana; Master;Restriction;No;No;Moving Collateral;Kill Commander Zilyana in a private instance without attacking her directly.
Commander Zilyana;Commander_Zilyana; Grandmaster;Perfection;No;No;Animal Whisperer;Kill Commander Zilyana in a private instance without taking any damage from the boss or bodyguards.
Commander Zilyana;Commander_Zilyana; Grandmaster;Stamina;No;No;Peach Conjurer;Kill Commander Zilyana 50 times in a privately rented instance without leaving the room.
Corporeal Beast;Corporeal_Beast; Elite;Restriction;No;No;Finding the Weak Spot;Finish off the Corporeal Beast with a Halberd special attack.
Corporeal Beast;Corporeal_Beast; Elite;Perfection;No;No;Hot on Your Feet;Kill the Corporeal Beast without anyone killing the dark core or taking damage from the dark core.
Corporeal Beast;Corporeal_Beast; Elite;Restriction;No;No;Chicken Killer;Kill the Corporeal Beast solo.
Corporeal Beast;Corporeal_Beast; Elite;Kill Count;No;No;Corporeal Beast Veteran;Kill the Corporeal Beast 25 times.
Corporeal Beast;Corporeal_Beast; Master;Kill Count;No;No;Corporeal Beast Master;Kill the Corporeal Beast 50 times.
Corrupted Hunllef;Corrupted_Hunllef; Elite;Perfection;No;No;3, 2, 1 - Mage;Kill the Corrupted Hunllef without taking damage off prayer.
Corrupted Hunllef;Corrupted_Hunllef; Elite;Kill Count;No;No;Corrupted Gauntlet Veteran;Complete the Corrupted Gauntlet 5 times.
Corrupted Hunllef;Corrupted_Hunllef; Master;Perfection;No;No;Perfect Corrupted Hunllef;Kill the Corrupted Hunllef without taking damage from: Tornadoes, Damaging Floor or Stomp Attacks. Also, do not take damage off prayer and do not attack the Corrupted Hunllef with the wrong weapon.
Corrupted Hunllef;Corrupted_Hunllef; Master;Restriction;No;No;Corrupted Warrior;Kill the Corrupted Hunllef with a full set of perfected corrupted armour equipped.
Corrupted Hunllef;Corrupted_Hunllef; Master;Speed;No;No;Corrupted Gauntlet Speed-Chaser;Complete a Corrupted Gauntlet in less than 7 minutes and 30 seconds.
Corrupted Hunllef;Corrupted_Hunllef; Master;Kill Count;No;No;Corrupted Gauntlet Master;Complete the Corrupted Gauntlet 10 times.
Corrupted Hunllef;Corrupted_Hunllef; Master;Restriction;No;No;Defence Doesn't Matter II;Kill the Corrupted Hunllef without making any armour within the Corrupted Gauntlet.
Corrupted Hunllef;Corrupted_Hunllef; Grandmaster;Restriction;No;No;Wolf Puncher II;Kill the Corrupted Hunllef without making more than one attuned weapon.
Corrupted Hunllef;Corrupted_Hunllef; Grandmaster;Kill Count;No;No;Corrupted Gauntlet Grandmaster;Complete the Corrupted Gauntlet 50 times.
Corrupted Hunllef;Corrupted_Hunllef; Grandmaster;Speed;No;No;Corrupted Gauntlet Speed-Runner;Complete a Corrupted Gauntlet in less than 6 minutes and 30 seconds.
Corrupted Hunllef;Corrupted_Hunllef; Grandmaster;Restriction;No;No;Egniol Diet II;Kill the Corrupted Hunllef without making an egniol potion within the Corrupted Gauntlet.
Crazy Archaeologist;Crazy_archaeologist; Medium;Mechanical;No;No;Mage of the Ruins;Kill the Crazy Archaeologist with only magical attacks.
Crazy Archaeologist;Crazy_archaeologist; Medium;Kill Count;No;No;Crazy Archaeologist Champion;Kill the Crazy Archaeologist 10 times.
Crazy Archaeologist;Crazy_archaeologist; Medium;Perfection;No;No;I'd Rather Not Learn;"Kill the Crazy Archaeologist without anyone being hit by his ""Rain of Knowledge"" attack."
Crazy Archaeologist;Crazy_archaeologist; Hard;Kill Count;No;No;Crazy Archaeologist Adept;Kill the Crazy Archaeologist 25 times.
Crystalline Hunllef;Crystalline_Hunllef; Elite;Restriction;No;No;Wolf Puncher;Kill the Crystalline Hunllef without making more than one attuned weapon.
Crystalline Hunllef;Crystalline_Hunllef; Elite;Kill Count;No;No;Gauntlet Veteran;Complete the Gauntlet 5 times.
Crystalline Hunllef;Crystalline_Hunllef; Elite;Restriction;No;No;Egniol Diet;Kill the Crystalline Hunllef without making an egniol potion within the Gauntlet.
Crystalline Hunllef;Crystalline_Hunllef; Elite;Restriction;No;No;Crystalline Warrior;Kill the Crystalline Hunllef with a full set of perfected armour equipped.
Crystalline Hunllef;Crystalline_Hunllef; Elite;Perfection;No;No;3, 2, 1 - Range;Kill the Crystalline Hunllef without taking damage off prayer.
Crystalline Hunllef;Crystalline_Hunllef; Master;Kill Count;No;No;Gauntlet Master;Complete the Gauntlet 20 times.
Crystalline Hunllef;Crystalline_Hunllef; Master;Restriction;No;No;Defence Doesn't Matter;Kill the Crystalline Hunllef without making any armour within the Gauntlet.
Crystalline Hunllef;Crystalline_Hunllef; Master;Speed;No;No;Gauntlet Speed-Chaser;Complete the Gauntlet in less than 5 minutes.
Crystalline Hunllef;Crystalline_Hunllef; Master;Perfection;No;No;Perfect Crystalline Hunllef;Kill the Crystalline Hunllef without taking damage from: Tornadoes, Damaging Floor or Stomp Attacks. Also, do not take damage off prayer and do not attack the Crystalline Hunllef with the wrong weapon.
Crystalline Hunllef;Crystalline_Hunllef; Grandmaster;Speed;No;No;Gauntlet Speed-Runner;Complete the Gauntlet in less than 4 minutes.
Dagannoth Prime;Dagannoth_Prime; Medium;Kill Count;No;No;Dagannoth Prime Champion;Kill Dagannoth Prime 10 times.
Dagannoth Prime;Dagannoth_Prime; Hard;Kill Count;No;No;Dagannoth Prime Adept;Kill Dagannoth Prime 25 times.
Dagannoth Prime;Dagannoth_Prime; Elite;Mechanical;No;No;From One King to Another;Kill Prime using a Rune Thrownaxe special attack, bounced off Dagannoth Rex.
Dagannoth Prime;Dagannoth_Prime; Elite;Mechanical;No;No;Death to the Seer King;Kill Dagannoth Prime whilst under attack by Dagannoth Supreme and Dagannoth Rex.
Dagannoth Rex;Dagannoth_Rex; Medium;Mechanical;No;No;A Frozen King;Kill Dagannoth Rex whilst he is immobilized.
Dagannoth Rex;Dagannoth_Rex; Medium;Kill Count;No;No;Dagannoth Rex Champion;Kill Dagannoth Rex 10 times.
Dagannoth Rex;Dagannoth_Rex; Hard;Kill Count;No;No;Dagannoth Rex Adept;Kill Dagannoth Rex 25 times.
Dagannoth Rex;Dagannoth_Rex; Elite;Mechanical;No;No;Toppling the Diarchy;Kill Dagannoth Rex and one other Dagannoth king at the exact same time.
Dagannoth Rex;Dagannoth_Rex; Elite;Mechanical;No;No;Death to the Warrior King;Kill Dagannoth Rex whilst under attack by Dagannoth Supreme and Dagannoth Prime.
Dagannoth Supreme;Dagannoth_Supreme; Medium;Kill Count;No;No;Dagannoth Supreme Champion;Kill Dagannoth Supreme 10 times.
Dagannoth Supreme;Dagannoth_Supreme; Hard;Kill Count;No;No;Dagannoth Supreme Adept;Kill Dagannoth Supreme 25 times.
Dagannoth Supreme;Dagannoth_Supreme; Elite;Mechanical;No;No;Rapid Succession;Kill all three Dagannoth Kings within 9 seconds of the first one.
Dagannoth Supreme;Dagannoth_Supreme; Elite;Mechanical;No;No;Death to the Archer King;Kill Dagannoth Supreme whilst under attack by Dagannoth Prime and Dagannoth Rex.
Demonic Gorilla;Demonic_gorilla; Elite;Restriction;No;No;Hitting Them Where It Hurts;Finish off a Demonic Gorilla with a demonbane weapon.
Demonic Gorilla;Demonic_gorilla; Elite;Kill Count;No;No;If Gorillas Could Fly;Kill a Demonic Gorilla.
Deranged Archaeologist;Deranged_archaeologist; Easy;Kill Count;No;No;Deranged Archaeologist Novice;Kill the Deranged Archaeologist 10 times.
Deranged Archaeologist;Deranged_archaeologist; Medium;Perfection;No;No;I'd Rather Be Illiterate;"Kill the Deranged Archaeologist without anyone being hit by his ""Learn to Read"" attack."
Deranged Archaeologist;Deranged_archaeologist; Medium;Mechanical;No;No;Mage of the Swamp;Kill the Deranged Archaeologist with only magical attacks.
Deranged Archaeologist;Deranged_archaeologist; Medium;Kill Count;No;No;Deranged Archaeologist Champion;Kill the Deranged Archaeologist 25 times.
Doom of Mokhaiotl;Doom_of_Mokhaiotl; Elite;Kill Count;No;No;Doom Adept;Defeat the Doom of Mokhaiotl at delve level 3.
Doom of Mokhaiotl;Doom_of_Mokhaiotl; Elite;Speed;No;No;Doom Crawler;Defeat the Doom of Mokhaiotl level 1 in less than 30 seconds.
Doom of Mokhaiotl;Doom_of_Mokhaiotl; Elite;Mechanical;No;No;Exposed Doom;Defeat the Doom of Mokhaiotl during its Melee charge phase.
Doom of Mokhaiotl;Doom_of_Mokhaiotl; Master;Mechanical;No;No;Grub Patrol;Defeat the Doom of Mokhaiotl levels 1-8 without ever letting a grub be absorbed.
Doom of Mokhaiotl;Doom_of_Mokhaiotl; Master;Restriction;No;No;Mine's Better;Defeat the Doom of Mokhaiotl levels 1-8 whilst always wearing a shield.
Doom of Mokhaiotl;Doom_of_Mokhaiotl; Master;Mechanical;No;No;Mokhaiotl Drift;Defeat the Doom of Mokhaiotl at level 8 or above before he finishes the first burrow phase.
Doom of Mokhaiotl;Doom_of_Mokhaiotl; Master;Kill Count;No;No;Doom Veteran;Defeat the Doom of Mokhaiotl at delve level 8.
Doom of Mokhaiotl;Doom_of_Mokhaiotl; Master;Speed;No;No;Doom Chaser;Defeat the Doom of Mokhaiotl levels 1-8 in less than 10:00.
Doom of Mokhaiotl;Doom_of_Mokhaiotl; Grandmaster;Stamina;No;No;It's Dark Down Here;Defeat the Doom of Mokhaiotl at delve level 16.
Doom of Mokhaiotl;Doom_of_Mokhaiotl; Grandmaster;Restriction;No;No;Duel of Mokhaiotl;Defeat the Doom of Mokhaiotl levels 1-8 whilst only damaging the boss with one-handed melee attacks.
Doom of Mokhaiotl;Doom_of_Mokhaiotl; Grandmaster;Restriction;No;No;Darkness Is Your Ally?;Defeat the Doom of Mokhaiotl levels 1-8 without equipping a demonbane weapon.
Doom of Mokhaiotl;Doom_of_Mokhaiotl; Grandmaster;Perfection;No;No;Perfect Doom;Defeat the Doom of Mokhaiotl levels 1-8 without taking any damage from the boss, letting any grubs be absorbed, or stepping in acid blood.
Doom of Mokhaiotl;Doom_of_Mokhaiotl; Grandmaster;Restriction;No;No;The Praying Mantis;Defeat the Doom of Mokhaiotl levels 1-8 without restoring your prayer points through any method.
Doom of Mokhaiotl;Doom_of_Mokhaiotl; Grandmaster;Mechanical;No;No;Mopping up;Clear at least 8 acid splats in a single Volatile Earth special attack.
Doom of Mokhaiotl;Doom_of_Mokhaiotl; Grandmaster;Speed;No;No;Doom Racer;Defeat the Doom of Mokhaiotl levels 1-8 in less than 7:15.
